season,start_date,end_date
1,2005-06-01,2005-07-06
2,2006-01-05,2006-02-24
3,2006-09-12,2006-11-15
4,2007-03-19,2007-05-22
5,2007-09-24,2007-11-27
6,2008-03-17,2008-05-20
7,2008-09-22,2008-11-25
8,2009-03-09,2009-05-19
9,2009-09-21,2009-11-24
10,2010-03-22,2010-05-25
11,2010-09-20,2010-11-23
12,2011-03-21,2011-05-24
13,2011-09-19,2011-11-22
14,2012-03-19,2012-05-22
15,2012-09-24,2012-11-27
16,2013-03-18,2013-05-21
17,2013-09-16,2013-11-26
18,2014-03-17,2014-05-20
19,2014-09-15,2014-11-25
20,2015-03-16,2015-05-19
21,2015-09-14,2015-11-24
22,2016-03-21,2016-05-24
23,2016-09-12,2016-11-22
24,2017-03-20,2017-05-23
25,2017-09-18,2017-11-21
26,2018-09-24,2018-11-19
27,2019-09-16,2019-11-25
28,2019-09-16,2019-11-25
29,2020-09-14,2020-11-23
30,2021-09-20,2021-11-22
31,2022-09-19,2022-11-21
32,2023-09-26,2023-12-05
33,2024-09-17,2024-11-26
34,2025-09-17,2025-11-25
