season,week,week_exists,season_len,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,judge_n,n_alive_w,performed,in_competition,elim_week,eliminated_end_of_week,j_total_raw,j_mean_raw,j_sd_raw,j_total,j_mean,j_sd,j_rank,tie_flag,j_points_rank,j_pct,j_z_within_week,delta_j_total,week_start,week_end,num_episodes,trend_date,window_start,window_end,trend_preday,trend_startday,trend_used_window_mean,trend_used
1,1,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,6,TRUE,TRUE,3,FALSE,18,6,1,18,6,1,4.5,TRUE,2.5,0.165137615,-0.061406344,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,0,0,0
1,1,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,6,TRUE,TRUE,5,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,2,TRUE,5,0.183486239,0.675469782,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,0,0,0
1,1,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,6,TRUE,TRUE,6,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,2,TRUE,5,0.183486239,0.675469782,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,0,0,0
1,1,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,6,TRUE,TRUE,6,FALSE,13,4.333333333,0.577350269,13,4.333333333,0.577350269,6,FALSE,1,0.119266055,-1.903596659,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,5,5,5
1,1,TRUE,6,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,6,TRUE,TRUE,4,FALSE,20,6.666666667,0.577350269,20,6.666666667,0.577350269,2,TRUE,5,0.183486239,0.675469782,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,50,50,50
1,1,TRUE,6,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,6,TRUE,TRUE,2,FALSE,18,6,0,18,6,0,4.5,TRUE,2.5,0.165137615,-0.061406344,,2005/6/1,2005/6/7,1,2005/5/31,2005/6/1,2005/6/1,,0,0,0
1,2,TRUE,6,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,6,TRUE,TRUE,3,FALSE,14,4.666666667,0.577350269,14,4.666666667,0.577350269,6,FALSE,1,0.115702479,-1.387023293,-4,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,0,0
1,2,TRUE,6,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,6,TRUE,TRUE,5,FALSE,21,7,1,21,7,1,3,FALSE,4,0.173553719,0.18743558,1,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,0,0
1,2,TRUE,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,6,TRUE,TRUE,6,FALSE,26,8.666666667,0.577350269,26,8.666666667,0.577350269,1,FALSE,6,0.214876033,1.312049061,6,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,0,0
1,2,TRUE,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,6,TRUE,TRUE,6,FALSE,17,5.666666667,0.577350269,17,5.666666667,0.577350269,5,FALSE,2,0.140495868,-0.712255204,4,2005/6/8,2005/6/14,1,2005/6/7,2005/6/5,2005/6/7,0,0,2,2
