season,n_contestants,spearman_rho,spearman_p,kendall_tau_b,kendall_p,rank_mae,rank_rmse,top1_hit,top3_overlap,top3_jaccard,top4_overlap,pairwise_accuracy,n_pairs,concordant_pairs,discordant_pairs,method_tag
1,6,0.4928053803045812,0.32063258286582746,0.41403933560541256,0.2511180012744736,1.1666666666666667,1.7795130420052185,1,0.75,0.75,0.8,0.7,15,10.5,4,survival
2,10,-0.36199044029251076,0.3040046620233935,-0.18401748249129446,0.46767140390417383,4.7,4.847679857416329,0,0.0,0.0,0.16666666666666666,0.4111111111111111,45,18.5,25,survival
3,11,-0.30593926253473946,0.36021116844817663,-0.2037386413085749,0.3889151052649239,4.454545454545454,4.8896923123128015,0,0.0,0.0,0.2,0.4,55,22.0,32,survival
4,11,0.2018433569398328,0.5517301304599952,0.22438727760202973,0.3447839777847521,3.727272727272727,4.295875400258422,0,0.4,0.3333333333333333,0.5,0.6090909090909091,55,33.5,20,survival
5,12,-0.09859399412855982,0.7604837400712293,-0.04652421051992354,0.8356081953650434,4.75,5.315072906367325,0,0.2,0.14285714285714285,0.3333333333333333,0.4772727272727273,66,31.5,33,survival
6,12,-0.0952417984616157,0.7684276411607843,-0.03126526997403612,0.8897069355331012,4.666666666666667,5.180090089306685,0,0.2,0.14285714285714285,0.3333333333333333,0.48484848484848486,66,32.0,32,survival
7,13,-0.4099864562956654,0.16411489600389628,-0.22528910513419684,0.2945165731783814,5.769230769230769,6.019200049073733,0,0.0,0.0,0.0,0.391025641025641,78,30.5,45,survival
8,13,0.07745690065566453,0.8014187017895581,0.05264981264926563,0.8055405886674939,4.3076923076923075,5.114083119567588,0,0.4,0.3333333333333333,0.5,0.5256410256410257,78,41.0,35,survival
9,16,-0.4023739080814782,0.12232132778687983,-0.28338972196124956,0.1342829656379354,6.625,7.297259759663212,0,0.0,0.0,0.0,0.3625,120,43.5,73,survival
10,11,0.2568915451961508,0.44572565989134083,0.26178515720236806,0.2703685816257839,3.5454545454545454,4.166969685951215,0,0.4,0.3333333333333333,0.5,0.6272727272727273,55,34.5,19,survival
11,12,-0.04225456891223992,0.8962612978961096,-0.04652421051992354,0.8356081953650434,4.583333333333333,5.204164998665331,0,0.2,0.14285714285714285,0.3333333333333333,0.4772727272727273,66,31.5,33,survival
12,11,0.3394638275806278,0.3071024935197742,0.22438727760202973,0.3447839777847521,3.3636363636363638,4.011347540529129,1,0.4,0.3333333333333333,0.5,0.6090909090909091,55,33.5,20,survival
13,12,-0.13380613488875975,0.6784466863299405,-0.07754035086653924,0.7294500113144083,4.75,5.392896562454479,0,0.2,0.14285714285714285,0.3333333333333333,0.4621212121212121,66,30.5,34,survival
14,12,0.24692318119678144,0.43910426220525084,0.1875916198442167,0.40538055645894233,4.0,4.725815626252608,1,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.5909090909090909,66,39.0,25,survival
