season,n_elim_weeks,hit1_rate,hit2_rate,avg_log_score,brier_score,n_contestants,spearman_rho,kendall_tau_b,rank_mae,top1_hit,top3_overlap,pairwise_accuracy
1,4,1.0,1.0,-0.7718104809262165,0.08287780807684803,6,0.4928053803045812,0.41403933560541256,1.1666666666666667,1,0.75,0.7
2,7,1.0,1.0,-0.9899042636360166,0.06587420417300313,10,-0.36199044029251076,-0.18401748249129446,4.7,0,0.0,0.4111111111111111
3,8,0.875,1.0,-1.2913608571707247,0.0887046014830325,11,-0.30593926253473946,-0.2037386413085749,4.454545454545454,0,0.0,0.4
4,8,0.75,1.0,-1.2510714503517293,0.07733385392799999,11,0.2018433569398328,0.22438727760202973,3.727272727272727,0,0.4,0.6090909090909091
5,9,0.8888888888888888,1.0,-1.3619016756629478,0.07776175943356482,12,-0.09859399412855982,-0.04652421051992354,4.75,0,0.2,0.4772727272727273
6,8,1.0,1.0,-1.3591896673885884,0.08949281803666846,12,-0.0952417984616157,-0.03126526997403612,4.666666666666667,0,0.2,0.48484848484848486
7,8,1.0,1.0,-1.5032757054773926,0.09979275261597229,13,-0.4099864562956654,-0.22528910513419684,5.769230769230769,0,0.0,0.391025641025641
8,9,0.7777777777777778,1.0,-1.4203373792992549,0.08296827604288827,13,0.07745690065566453,0.05264981264926563,4.3076923076923075,0,0.4,0.5256410256410257
9,9,1.0,1.0,-1.7390726029712835,0.10054541528520908,16,-0.4023739080814782,-0.28338972196124956,6.625,0,0.0,0.3625
10,8,0.875,0.875,-1.2383159336884095,0.07648613044167142,11,0.2568915451961508,0.26178515720236806,3.5454545454545454,0,0.4,0.6272727272727273
11,9,1.0,1.0,-1.341780664697315,0.07676913085459172,12,-0.04225456891223992,-0.04652421051992354,4.583333333333333,0,0.2,0.4772727272727273
12,8,1.0,1.0,-1.2579338728025387,0.07782731778517396,11,0.3394638275806278,0.22438727760202973,3.3636363636363638,1,0.4,0.6090909090909091
13,9,1.0,1.0,-1.3458748315093003,0.07572480553323983,12,-0.13380613488875975,-0.07754035086653924,4.75,0,0.2,0.4621212121212121
14,8,1.0,1.0,-1.4179606075234261,0.0845769724483769,12,0.24692318119678144,0.1875916198442167,4.0,1,0.3333333333333333,0.5909090909090909
15,7,0.8571428571428571,1.0,-1.594530526513266,0.10252011799364967,13,-0.1414768482371839,-0.10675210253672476,5.076923076923077,0,0.14285714285714285,0.44871794871794873
16,8,0.875,0.875,-1.4260866425214558,0.07543120591292407,12,0.20643837697087405,0.12712834523274563,4.166666666666667,0,0.3333333333333333,0.5606060606060606
17,8,0.875,1.0,-1.4667958527201148,0.07858310062735885,12,0.17796411807833973,0.09534625892455922,4.166666666666667,0,0.3333333333333333,0.5454545454545454
18,7,0.8571428571428571,1.0,-1.5642858817253615,0.0931989120289512,12,-0.24603660590063087,-0.11217603013123663,5.333333333333333,0,0.0,0.44696969696969696
19,9,0.7777777777777778,1.0,-1.5282790874307954,0.07556658825335286,13,-0.039000997323968944,-0.02668802563418119,5.153846153846154,0,0.16666666666666666,0.48717948717948717
20,8,0.75,0.875,-1.4507905819930942,0.0860776475162435,12,0.1763737008548439,0.1563263498701806,4.166666666666667,0,0.3333333333333333,0.5757575757575758
21,6,1.0,1.0,-1.747782350902485,0.1211211714104285,13,-0.24689896356279398,-0.13730875909527243,5.6923076923076925,0,0.0,0.4358974358974359
22,7,0.8571428571428571,1.0,-1.4859455778113988,0.09577608944163912,12,0.4629235377448438,0.3309652594769214,3.6666666666666665,1,0.5,0.6590909090909091
23,8,0.875,1.0,-1.5660409295386932,0.08665721022399708,13,0.1813323592867087,0.12093890545052473,4.3076923076923075,0,0.3333333333333333,0.5576923076923077
24,8,0.875,1.0,-1.4243357766212694,0.08568402815953458,12,0.3809671938464628,0.21885688981825283,3.5833333333333335,1,0.6,0.6060606060606061
25,7,0.8571428571428571,1.0,-1.6046215291929469,0.09904608646445263,13,0.0027936884766729636,0.05413319619607667,5.076923076923077,0,0.16666666666666666,0.5256410256410257
26,3,1.0,1.0,-1.5220785535286805,0.1819520601067114,10,0.12506107989614448,0.07352146220938077,3.6,1,0.25,0.5333333333333333
27,7,0.7142857142857143,1.0,-1.6661431204958006,0.09188034622554245,13,-0.03911163867342149,-0.027066598098038335,5.461538461538462,0,0.125,0.48717948717948717
28,7,0.8571428571428571,0.8571428571428571,-1.0737811350585127,0.062352247109211945,12,0.3779692786299547,0.27242750174728897,3.4166666666666665,1,0.5,0.6287878787878788
29,9,1.0,1.0,-1.0795210720979396,0.05133898806836171,15,0.6516627685549871,0.5251644902096135,3.8,1,0.42857142857142855,0.7523809523809524
30,8,1.0,1.0,-1.0929724373194276,0.057943864719957966,15,0.4896453271060096,0.378489059622558,4.933333333333334,1,0.25,0.680952380952381
31,9,1.0,1.0,-1.1705004330705828,0.052479754121562625,16,0.5983946097721146,0.44189395817353094,4.6875,1,0.25,0.7125
32,9,1.0,1.0,-1.0103469910989515,0.046045983003474844,14,0.40684431149784545,0.26789501382893466,4.0,1,0.42857142857142855,0.6263736263736264
33,6,0.8333333333333334,1.0,-1.143179418132648,0.07310303067031036,13,0.5101627678885768,0.3902462713366423,3.8461538461538463,1,0.42857142857142855,0.6794871794871795
34,8,1.0,1.0,-1.038566593232169,0.053399593344502574,14,0.321799581067544,0.25784397701617245,4.642857142857143,1,0.2857142857142857,0.6208791208791209
