name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
AJ McLean,2020-11-23,Q313408,0.0,0.0,0.0,0.0
Aaron Carter,2009-11-23,Q301818,0.0,0.0,0.0,0.0
Adam Carolla,2008-05-19,Q4119,0.0,0.0,0.0,0.0
Adam Rippon,2018-05-21,Q350722,1.0,1.0,1.0,1.0
Adrian Peterson,2023-12-05,Q100899846,0.0,0.0,0.0,0.0
Aiden Turner,2010-05-24,Q403999,0.0,0.0,0.0,0.0
Albert Reed,2007-11-26,Q4711088,0.0,0.0,0.0,0.0
Alek Skarlatos,2015-11-23,Q21055237,1.0,0.0,0.0,0.0
Alexa PenaVega,2015-11-23,Q152555,0.0,0.0,0.0,0.0
Alexandra Raisman,2013-05-20,Q238663,0.0,0.0,0.0,0.0
Alexis Ren,2018-11-19,Q18637906,0.0,0.0,0.0,0.0
Alfonso Ribeiro,2014-11-24,Q447691,2.0,2.0,2.0,1.0
Alix Earle,2025-11-25,Q121422393,0.0,0.0,0.0,0.0
Ally Brooke,2019-11-25,Q22965780,0.0,0.0,0.0,0.0
Alyson Hannigan,2023-12-05,Q199927,4.0,4.0,4.0,1.0
Amanda Kloots,2021-11-22,Q102193042,0.0,0.0,0.0,0.0
Amber Riley,2013-11-25,Q230420,4.0,4.0,1.0,1.0
Amber Rose,2016-11-21,Q456943,0.0,0.0,0.0,0.0
Amy Purdy,2014-05-19,Q4749355,0.0,0.0,0.0,0.0
Andy Dick,2013-05-20,Q367094,0.0,0.0,0.0,0.0
Andy Grammer,2015-11-23,Q4299814,0.0,0.0,0.0,0.0
Andy Richter,2025-11-25,Q497851,0.0,0.0,0.0,0.0
Anna Delvey,2024-11-26,Q55080956,0.0,0.0,0.0,0.0
Anne Heche,2020-11-23,Q234610,6.0,6.0,6.0,1.0
Antonio Brown,2016-05-23,Q4776474,0.0,0.0,0.0,0.0
Antonio Sabato Jr.,2014-11-24,Q379461,0.0,0.0,0.0,0.0
Apolo Anton Ohno,2012-11-26,Q329738,0.0,0.0,0.0,0.0
Ariana Madix,2023-12-05,Q64852987,0.0,0.0,0.0,0.0
Arike Ogunbowale,2018-05-21,Q51858305,2.0,2.0,2.0,1.0
Ashley Hamiliton,2009-11-23,QID_NOT_FOUND,0.0,0.0,0.0,0.0
Audrina Patridge,2010-11-22,Q239595,0.0,0.0,0.0,0.0
Babyface,2016-11-21,Q344983,2.0,1.0,1.0,0.5
Barbara Corcoran,2017-11-20,Q4858830,0.0,0.0,0.0,0.0
Baron Davis,2025-11-25,Q313486,0.0,0.0,0.0,0.0
Barry Williams,2023-12-05,Q121299255,0.0,0.0,0.0,0.0
Belinda Carlisle,2009-05-18,Q233959,0.0,0.0,0.0,0.0
Bethany Mota,2014-11-24,Q16769657,3.0,3.0,2.0,1.0
Betsey Johnson,2014-11-24,Q467665,1.0,1.0,0.0,1.0
Bill Engvall,2013-11-25,Q4908906,0.0,0.0,0.0,0.0
Bill Nye,2013-11-25,Q2619019,6.0,3.0,1.0,0.5
Billy Dee Williams,2014-05-19,Q358345,2.0,1.0,1.0,0.5
Billy Ray Cyrus,2007-05-21,Q231259,4.0,4.0,3.0,1.0
Bindi Irwin,2015-11-23,Q2423081,2.0,0.0,0.0,0.0
Bobby Bones,2018-11-19,Q17385667,0.0,0.0,0.0,0.0
Bonner Bolton,2017-05-22,Q28976368,0.0,0.0,0.0,0.0
Brandy,2010-11-22,Q690974,18.0,18.0,14.0,1.0
Brant Daugherty,2013-11-25,Q1992569,0.0,0.0,0.0,0.0
Brian Austin Green,2021-11-22,Q313311,0.0,0.0,0.0,0.0
Bristol Palin,2012-11-26,Q2190766,0.0,0.0,0.0,0.0
Brooke Burke,2008-11-24,Q439927,0.0,0.0,0.0,0.0
Brooks Nader,2024-11-26,Q118558462,0.0,0.0,0.0,0.0
Buzz Aldrin,2010-05-24,Q2252,26.0,15.0,12.0,0.5769230769230769
Calvin Johnson Jr.,2016-11-21,QID_NOT_FOUND,0.0,0.0,0.0,0.0
Cameron Mathison,2007-11-26,Q3651353,1.0,1.0,1.0,1.0
Candace Cameron Bure,2014-05-19,Q235694,3.0,3.0,1.0,1.0
Carlos PenaVega,2015-11-23,Q26053,0.0,0.0,0.0,0.0
Carole Baskin,2020-11-23,Q88495947,0.0,0.0,0.0,0.0
Carson Kressley,2011-11-21,Q2470009,1.0,0.0,0.0,0.0
Chad Ochocinco,2010-05-24,Q471833,0.0,0.0,0.0,0.0
Chaka Khan,2015-11-23,Q229498,3.0,2.0,1.0,0.6666666666666666
Chandler Kinney,2024-11-26,Q22670597,0.0,0.0,0.0,0.0
Charity Lawson,2023-12-05,Q117138689,0.0,0.0,0.0,0.0
Charles Oakley,2020-11-23,Q608514,3.0,3.0,3.0,1.0
Charli D'Amelio,2022-11-21,Q83648587,1.0,1.0,1.0,1.0
Charlie White,2014-05-19,Q512025,0.0,0.0,0.0,0.0
Charlotte McKinney,2015-05-18,Q19571502,0.0,0.0,0.0,0.0
Charo,2017-05-22,Q453949,0.0,0.0,0.0,0.0
Chaz Bono,2011-11-21,Q979387,1.0,1.0,0.0,1.0
Chelsea Kane,2011-05-23,Q119541149,0.0,0.0,0.0,0.0
Cheryl Ladd,2022-11-21,Q218884,0.0,0.0,0.0,0.0
Chris Jericho,2011-05-23,Q44144,2.0,0.0,0.0,0.0
Chris Kattan,2017-05-22,Q741909,0.0,0.0,0.0,0.0
Chris Mazdzer,2018-05-21,Q937658,0.0,0.0,0.0,0.0
Chris Soules,2015-05-18,Q19867926,0.0,0.0,0.0,0.0
Chrishell Stause,2020-11-23,Q5108579,0.0,0.0,0.0,0.0
Christina Milian,2013-11-25,Q230501,1.0,1.0,1.0,1.0
Christine Chiu,2021-11-22,Q105491159,0.0,0.0,0.0,0.0
Chuck Liddell,2009-11-23,Q380050,0.0,0.0,0.0,0.0
Chuck Wicks,2009-05-18,Q2967614,0.0,0.0,0.0,0.0
Chynna Phillips,2011-11-21,Q3676126,0.0,0.0,0.0,0.0
Cloris Leachman,2008-11-24,Q230131,12.0,11.0,11.0,0.9166666666666666
Clyde Drexler,2007-05-21,Q295340,5.0,5.0,5.0,1.0
Cody Linley,2008-11-24,Q313660,0.0,0.0,0.0,0.0
Cody Rigsby,2021-11-22,Q109670980,0.0,0.0,0.0,0.0
Cody Simpson,2014-05-19,Q314319,0.0,0.0,0.0,0.0
Corbin Bleu,2013-11-25,Q4617,0.0,0.0,0.0,0.0
Corey Feldman,2025-11-25,Q375419,1.0,1.0,1.0,1.0
Cristian de la Fuente,2008-05-19,Q266788,1.0,0.0,0.0,0.0
D. L. Hughley,2013-05-20,Q536308,0.0,0.0,0.0,0.0
Danelle Umstead,2018-11-19,Q5215881,0.0,0.0,0.0,0.0
Danica McKellar,2014-05-19,Q242949,0.0,0.0,0.0,0.0
Daniel Durant,2022-11-21,Q22046533,1.0,1.0,1.0,1.0
Danielle Fishel,2025-11-25,Q129208,0.0,0.0,0.0,0.0
Danny Amendola,2024-11-26,Q3702263,0.0,0.0,0.0,0.0
