celebrity_name,season,trend_mean,trend_max,trend_min,trend_std,trend_median,trend_sum,trend_range,trend_peak_count,trend_above_50_days,trend_above_25_days,trend_zero_days,total_days,data_quality,trend_q25,trend_q75,trend_iqr,trend_skewness,trend_kurtosis,trend_cv,trend_first_week_mean,trend_last_week_mean,trend_growth_rate,trend_volatility,trend_peak_position,trend_above_mean_ratio,trend_momentum,trend_entropy,trend_vector
AJ McLean,29,15.92,100.0,0.0,23.91,8.0,1130.0,100.0,21,8,10,13,71,good,5.0,12.0,7.0,2.32,4.17,150.26,25.0,2.71,-89.14,33.56,0.01,0.2,-6.98,5.04,"12,100,25,13,8,9,8,0,6,95,17,9,9,6,8,68,12,10,5,7,6,9,63,24,12,7,7,6,4,67,15,12,5,8,9,12,80,16,9,8,8,8,6,40,8,7,0,0,0,5,90,11,8,5,0,0,0,72,17,8,8,4,0,0,8,4,7,0,0,0,0"
Aaron Carter,9,19.72,100.0,5.0,17.33,13.0,1282.0,95.0,17,4,15,0,65,good,9.0,22.0,13.0,2.38,6.56,87.84,30.71,10.43,-66.05,21.11,0.02,0.29,-3.99,5.61,"16,100,28,20,14,18,19,9,48,21,16,10,11,9,7,39,28,22,12,15,11,7,51,37,13,10,8,8,12,38,28,11,9,8,12,9,40,23,13,5,8,13,6,35,48,12,9,14,15,9,56,75,37,14,13,9,8,13,16,9,11,10,13,6,8"
Adam Carolla,6,24.48,100.0,0.0,18.32,20.0,1591.0,100.0,17,7,25,9,65,good,16.0,30.0,14.0,1.47,3.43,74.83,41.0,11.43,-72.13,17.46,0.35,0.38,-20.42,5.61,"27,70,56,45,37,32,20,31,67,56,31,30,15,18,20,51,51,30,20,22,0,25,41,100,45,44,29,14,18,25,19,26,28,0,25,16,14,22,18,20,0,0,26,22,18,16,16,17,0,23,18,21,19,22,0,0,15,20,18,21,9,0,0,13,19"
Adam Rippon,26,17.84,100.0,0.0,14.23,16.0,1017.0,100.0,15,1,10,4,57,good,11.0,21.0,10.0,3.46,17.1,79.78,14.14,18.29,29.29,19.5,0.25,0.35,-5.58,5.48,"13,30,25,15,16,0,0,17,21,21,18,16,16,21,100,12,17,16,16,17,11,41,14,16,16,23,19,32,29,13,10,12,11,31,12,31,20,10,10,0,16,12,9,8,9,8,10,0,19,30,13,22,19,9,11,9,45"
Adrian Peterson,32,13.0,100.0,4.0,15.09,9.0,741.0,96.0,15,3,5,0,57,good,7.0,13.0,6.0,4.04,18.15,116.06,27.43,5.43,-80.21,19.71,0.02,0.21,-10.74,5.3,"15,100,26,16,12,13,10,8,51,16,12,13,14,8,8,44,12,7,8,10,7,7,51,15,8,10,9,7,9,8,6,7,8,11,14,14,13,7,9,11,12,6,9,9,7,5,5,6,5,5,5,5,5,4,6,8,5"
Aiden Turner,10,4.97,100.0,0.0,15.5,0.0,323.0,100.0,65,2,2,51,65,good,0.0,0.0,0.0,4.68,23.31,311.92,15.0,0.0,-100.0,18.63,0.35,0.22,-10.09,3.13,"8,69,11,0,5,0,12,0,23,12,0,0,0,0,0,20,8,0,0,0,0,0,22,100,20,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Albert Reed,5,6.35,100.0,0.0,17.58,0.0,413.0,100.0,17,3,5,48,65,good,0.0,4.0,4.0,3.72,14.2,276.68,36.14,0.0,-100.0,14.61,0.03,0.18,-12.91,3.35,"19,49,100,51,12,11,11,10,29,75,15,8,6,0,4,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
Alek Skarlatos,21,16.47,100.0,3.0,20.84,8.0,1186.0,97.0,18,5,14,0,72,good,5.75,15.25,9.5,2.46,5.84,126.52,27.57,18.0,-34.72,27.64,0.01,0.24,-7.22,5.4,"5,100,46,15,12,9,6,5,49,39,8,5,6,6,4,36,7,10,36,16,9,9,37,11,35,19,11,8,8,96,22,9,9,8,7,5,32,9,4,3,5,4,3,22,8,5,3,6,7,4,50,10,5,4,4,6,4,29,9,6,6,9,6,6,68,12,6,7,5,7,6,83"
Alexa PenaVega,21,13.58,100.0,2.0,19.86,6.0,978.0,98.0,18,4,9,0,72,good,4.0,11.25,7.25,2.95,8.83,146.24,28.43,5.86,-79.4,25.42,0.01,0.22,-3.28,5.24,"12,100,48,14,6,8,11,6,51,43,9,9,8,8,4,22,5,3,3,4,4,3,24,8,6,3,5,5,4,76,13,6,4,3,6,4,47,11,6,4,6,4,4,23,5,5,4,3,3,4,32,5,4,3,4,6,3,100,31,21,10,9,7,6,19,5,3,2,4,4,5,18"
Alexandra Raisman,16,11.95,100.0,0.0,23.0,0.0,777.0,100.0,17,7,12,41,65,good,0.0,14.0,14.0,2.3,4.84,192.41,21.14,12.0,-43.24,30.24,0.02,0.28,-3.35,4.09,"15,100,33,0,0,0,0,5,51,15,0,6,0,0,0,34,12,0,0,0,0,0,98,27,0,0,0,0,0,35,6,0,0,0,0,0,35,9,6,0,0,0,0,54,14,0,6,0,0,0,64,14,0,0,0,0,0,54,16,0,0,0,0,0,68"
