season,week,n_elim,n_alive,season_len,num_episodes,week_start,week_end,elim_type,end_week,end_n,week_rel,remaining_weeks,need_elims,schedule_pressure,prev_elim_type,week_rel_bin,is_multi,multi_episode
1,1,0,6,6,1.0,2005-06-01,2005-06-07,none,6,2,0.16666666666666666,5,4,-1,start,0,0,0
1,2,1,6,6,1.0,2005-06-08,2005-06-14,single,6,2,0.3333333333333333,4,4,0,none,2,0,0
1,3,1,5,6,1.0,2005-06-15,2005-06-21,single,6,2,0.5,3,3,0,single,4,0,0
1,4,1,4,6,1.0,2005-06-22,2005-06-28,single,6,2,0.6666666666666666,2,2,0,single,6,0,0
1,5,1,3,6,1.0,2005-06-29,2005-07-05,single,6,2,0.8333333333333334,1,1,0,single,8,0,0
1,6,0,2,6,1.0,2005-07-06,2005-07-06,none,6,2,1.0,0,0,0,single,9,0,0
2,1,1,10,8,2.0,2006-01-05,2006-01-11,single,8,3,0.125,7,7,0,start,0,0,1
2,2,1,9,8,2.0,2006-01-12,2006-01-18,single,8,3,0.25,6,6,0,single,1,0,1
2,3,1,8,8,2.0,2006-01-19,2006-01-25,single,8,3,0.375,5,5,0,single,3,0,1
2,4,1,7,8,2.0,2006-01-26,2006-02-01,single,8,3,0.5,4,4,0,single,4,0,1
2,5,1,6,8,2.0,2006-02-02,2006-02-08,single,8,3,0.625,3,3,0,single,5,0,1
2,6,1,5,8,2.0,2006-02-09,2006-02-15,single,8,3,0.75,2,2,0,single,7,0,1
2,7,1,4,8,2.0,2006-02-16,2006-02-22,single,8,3,0.875,1,1,0,single,8,0,1
2,8,0,3,8,2.0,2006-02-23,2006-02-26,none,8,3,1.0,0,0,0,single,9,0,1
3,1,1,11,10,2.0,2006-09-12,2006-09-18,single,10,2,0.1,9,9,0,start,0,0,1
3,2,1,10,10,2.0,2006-09-19,2006-09-25,single,10,2,0.2,8,8,0,single,1,0,1
3,3,1,9,10,2.0,2006-09-26,2006-10-02,single,10,2,0.3,7,7,0,single,2,0,1
3,4,1,8,10,2.0,2006-10-03,2006-10-09,single,10,2,0.4,6,6,0,single,3,0,1
3,5,2,7,10,2.0,2006-10-10,2006-10-16,multi,10,2,0.5,5,5,0,single,4,1,1
3,6,0,5,10,2.0,2006-10-17,2006-10-23,none,10,2,0.6,4,3,-1,multi,5,0,1
