celebrity_name,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,season,n_obs
AJ McLean,0.00669258680758909,0.0043342876190926,0.004888451756274514,0.020036081693367857,0.0142931988901794,0.012707109756038736,29,9
Aaron Carter,0.03897564670892255,0.0400606013763141,0.005541365561598616,0.11263287363549587,0.11560165389539465,0.007652762671134772,9,8
Adam Carolla,0.025644873803877852,0.024799176556151402,0.0024013047517625684,0.0898110723078444,0.08985169276222224,0.001255957257721002,6,4
Adam Rippon,0.07158666780980365,0.07038646445114599,0.02229831392001814,0.08615150230777785,0.0862661689544496,0.004496321080299095,26,4
Adrian Peterson,0.012255021413294698,0.0119966432476539,0.0032902740757862438,0.04057861101928978,0.0415090624106563,0.008355859113128227,32,4
Aiden Turner,0.0239199050250636,0.0234560744307142,0.003098021822360622,0.08416532419110093,0.0842503122120256,0.0025697657095400056,10,4
Albert Reed,0.02294662535200695,0.02294662535200695,0.00030723425850364805,0.0897405831249517,0.0897405831249517,0.00021550971611583684,5,2
Alek Skarlatos,0.05640003005250542,0.0530532331275442,0.0196154357274678,0.10494366602403375,0.1053810401304834,0.004571028924691151,21,11
Alexa PenaVega,0.029485511675719764,0.0297663722957302,0.004511902804109189,0.09068743455925961,0.0928013963369233,0.006457559892291042,21,9
Alexandra Raisman,0.07141267798096376,0.07336172602395055,0.024385609576428564,0.11318274675105837,0.11613763785319689,0.007297682050812697,16,10
Alexis Ren,0.06497321270594984,0.06547995753499,0.015355859097108075,0.1078983364302962,0.1078701843350878,0.010473407725956362,27,9
Alfonso Ribeiro,0.056324535549111786,0.0569045160242533,0.0149697325983677,0.09954561287031537,0.1005421089082843,0.008238696688387033,19,11
Alix Earle,0.007624687897345373,0.0048638816050813,0.007422014226862622,0.017328135686113418,0.0135158481963256,0.010416727795045213,34,11
Ally Brooke,0.008846323787692538,0.0050803823552634,0.009852784317915426,0.016972572211325546,0.0124769990542314,0.012493090542481303,28,11
Alyson Hannigan,0.011196026588192291,0.0063742713973625,0.011436206474865589,0.020892261066889208,0.0188159785747129,0.01144989644644373,32,11
Amanda Kloots,0.0073467925811166995,0.00459693190804715,0.007539130487884274,0.01644818133135268,0.01225510307757675,0.010390450559214105,30,10
Amber Riley,0.055835532340368796,0.0579179590944929,0.014867066845393639,0.10588783210207246,0.1069096617462083,0.008333999178473342,17,11
Amber Rose,0.02206053903950195,0.0225159338225106,0.0014561464122475707,0.07907076853816801,0.0793014678970749,0.001874188446169068,23,6
Amy Purdy,0.05165684110987025,0.05039689553312385,0.014835213319033862,0.08651822035772436,0.0866241159965046,0.003538486202750286,18,10
Andy Dick,0.02922563691689494,0.0306317152784047,0.003028503920777571,0.09616083185484428,0.0996583947555518,0.006307866832244109,16,7
Andy Grammer,0.02683934136358291,0.026870094579375947,0.004465256683847392,0.08100492257884519,0.08188870024538289,0.006088071074622894,21,8
