week,ci_width_mean,ci_width_median,ci_width_std,ci_width_p25,ci_width_p75,cv_mean,cv_median,cv_std,cv_p25,cv_p75,n_obs,ci_width_iqr,cv_iqr
1,0.025130001355138175,0.0273281350137713,0.010536789164677948,0.0159469934933121,0.0326668243803685,0.08136376131242945,0.0923564917692069,0.028997066495312952,0.052115818380302,0.1010769344563179,421,0.0167198308870564,0.048961116076015894
2,0.02608707806897865,0.02752584314158335,0.014787019996801464,0.014133839583969951,0.03741302871052848,0.08015985254830067,0.09392705488247635,0.03746286889448943,0.048886337899952545,0.10711857669059112,404,0.023279189126558526,0.058232238790638574
3,0.02918084723904716,0.03081771483828125,0.01772185987359089,0.012946552793010074,0.04367326583333553,0.07978322442191038,0.09432297874073095,0.039426198411995524,0.038473182514826676,0.10955600874534673,360,0.030726713040325454,0.07108282623052005
4,0.032037822722742186,0.0325192914644792,0.020696244629271793,0.010455071458661926,0.049238089802159025,0.07915683931313726,0.09312341209601015,0.04009621770581879,0.0328659500277679,0.10948136582667532,326,0.0387830183434971,0.07661541579890743
5,0.034795835423118,0.03214526668519145,0.022214085258948076,0.01112334032598875,0.05540652321935325,0.07803246537365978,0.09508399297090539,0.039307533963312546,0.0308939381480373,0.10711547085868378,288,0.0442831828933645,0.07622153271064648
6,0.03774279724634221,0.0328979958344133,0.024517355790474163,0.0140362618913997,0.0600508575126131,0.07747832167743414,0.0930454666209352,0.037454554119898696,0.0351550585862586,0.1039410762918813,261,0.0460145956212134,0.0687860177056227
7,0.0410075234072917,0.03592630192711595,0.027213969073200166,0.013408528057623275,0.06592531310238456,0.07561519556730266,0.0917909473172549,0.03754074223989489,0.0314438693941273,0.10037260732920465,228,0.05251678504476128,0.06892873793507735
8,0.04806097709793921,0.0439149958482014,0.03137870417303983,0.0217681212312455,0.07708785328291495,0.07373428842224751,0.0891432351894188,0.037045876896602915,0.033291665485112504,0.09779816344461495,191,0.05531973205166946,0.06450649795950245
9,0.05851378243182564,0.06938345993791445,0.03606772028813048,0.021627181085589822,0.09090828960384012,0.0732837579821618,0.08764663881731476,0.034857468014956844,0.046468093553580704,0.09617939977560029,152,0.0692811085182503,0.04971130622201959
10,0.07519130276635197,0.0873261992759599,0.039873090295762054,0.0322308566230151,0.106208237577111,0.07099925266793788,0.0839032628079398,0.03076702118533029,0.0352910108172867,0.0925150607361891,109,0.0739773809540959,0.057224049918902405
11,0.06288136884353872,0.0790434066842254,0.030160554260800932,0.0356972853818469,0.0900096942433829,0.06725508030564746,0.0848668346829657,0.027131226673175555,0.0366031562661411,0.0920774750919278,37,0.054312408861536,0.055474318825786705
