celebrity_name,mean_W,median_W,p25_W,p75_W,dominant_rule,n_weeks,mean_CV,median_CV,p25_CV,p75_CV,group
Mario Lopez,0.0859916855580295,0.0836096860916373,0.05701455421469798,0.10705311798911928,R2_Percent,10,0.09093826015941267,0.0917826568674548,0.08016377901310075,0.10327812002249127,MostUncertain
Jason Taylor,0.08254897644450117,0.0794196340973683,0.06378515882236625,0.0978640609535842,R2_Percent,10,0.1082826990060692,0.10878977557699496,0.10039644505458338,0.11488539827929364,MostUncertain
Brooke Burke,0.07862215965554989,0.07648093266305506,0.06140104346870552,0.09869850622171822,R2_Percent,10,0.1008016733310964,0.10215391488418779,0.09185250515723198,0.11048395337326408,MostUncertain
Evan Lysacek,0.07834405466279123,0.07364923556733449,0.05953126176651127,0.09656538882385687,R2_Percent,10,0.10279630786329726,0.10250484895112694,0.09665143686198825,0.10853687659757785,MostUncertain
Kristi Yamaguchi,0.07741505686056113,0.0754462296894935,0.061142142357020174,0.0925778912688898,R2_Percent,10,0.10873594448570216,0.1117499659985567,0.09591695213624857,0.12103451279571861,MostUncertain
Shawn Johnson,0.07563078050887789,0.07337305031488456,0.05661587033007453,0.09193089120727835,R2_Percent,11,0.10744396573816944,0.11127404294428946,0.09515268602819194,0.11952802487600135,MostUncertain
Riker Lynch,0.07523726211826645,0.07105297613842775,0.055371196526985904,0.0907721128040039,R2_Percent,10,0.10198717816609722,0.102894171875526,0.0943351039941905,0.10929098867112688,MostUncertain
Erin Andrews,0.07462282998545065,0.07651554220922124,0.05728135190210175,0.0899528553265462,R2_Percent,10,0.09534506402255223,0.0969037793724917,0.08719590881066153,0.10378664662220172,MostUncertain
Cristian de la Fuente,0.07427474437189564,0.0724122773626675,0.05818460913727683,0.09295699024455936,R2_Percent,10,0.10929750707271117,0.10682145757603695,0.1038521352553964,0.11672789569374073,MostUncertain
Rob Kardashian,0.07359576662487444,0.07069674451521085,0.05657297659796132,0.08859528619933282,R2_Percent,10,0.10293275007128792,0.10461983553305534,0.09511193791251132,0.10933093101507943,MostUncertain
Robert Irwin,0.0066430596334840185,0.0047864661489518,0.0041555395325905495,0.0062034308046864505,R3_Bottom2,11,0.014831301580108229,0.0097349554289039,0.00948591002639475,0.01473305855484835,LeastUncertain
Lele Pons,0.006641931758310157,0.0054297274197671,0.0044079998490351505,0.00841666290330155,R3_Bottom2,7,0.0210692209416374,0.0194507367830444,0.013726399078169551,0.0286457336694297,LeastUncertain
Jordan Chiles,0.006608846558800891,0.0045563127890163,0.00403338813217625,0.0060658377319524,R3_Bottom2,11,0.01509299765208451,0.0111142244486277,0.01034237857485645,0.0138173901118764,LeastUncertain
Olivia Jade,0.006608346482777951,0.0062132894722728,0.004945258162381925,0.00792070240103305,R3_Bottom2,8,0.02216697052455604,0.01879265892445995,0.017271942345352023,0.02285152904019405,LeastUncertain
Suni Lee,0.006426180943450866,0.0059337920656239,0.0037038275394491,0.0070744265491141,R3_Bottom2,9,0.017784612938293577,0.0151186373968961,0.0138054392702364,0.0157720916168165,LeastUncertain
Trevor Donovan,0.00611861852813159,0.0047841332633109,0.0035643302226208,0.006786898323435,R3_Bottom2,9,0.015555825040843923,0.0144565521804157,0.0124307360589742,0.0159085434926153,LeastUncertain
Johnny Weir,0.00583275411726759,0.00449326283378765,0.003072381302694175,0.006147168109818125,R3_Bottom2,10,0.015985483642590788,0.0119289596938971,0.011579274510489899,0.0131702041514755,LeastUncertain
Heidi D'Amelio,0.00568326264417545,0.0055311546130745,0.0029708028144747748,0.00740569318083365,R3_Bottom2,8,0.015966358653633002,0.01582863232261325,0.011276302343879299,0.018907701307815127,LeastUncertain
Selma Blair,0.00449607120991302,0.0047872899797919,0.0041896748523635,0.0050205209404693,R3_Bottom2,5,0.01544918541044368,0.0159823954919151,0.0131747585734815,0.0175581030426379,LeastUncertain
Jeannie Mai,0.004171345118467157,0.0033031979094208,0.00316692686414035,0.0042318807614639,R3_Bottom2,7,0.014763743220235185,0.0127830324700257,0.01053708072384045,0.01307725715783785,LeastUncertain
