season,min,max,mean,std,nunique,is_constant
1,101,101,101.0,0.0,1,True
2,112,112,112.0,0.0,1,True
3,99,99,99.0,0.0,1,True
4,90,90,90.0,0.0,1,True
5,111,111,111.0,0.0,1,True
6,101,101,101.0,0.0,1,True
7,97,97,97.0,0.0,1,True
8,102,102,102.0,0.0,1,True
9,100,100,100.0,0.0,1,True
10,92,92,92.0,0.0,1,True
11,101,101,101.0,0.0,1,True
12,86,86,86.0,0.0,1,True
13,110,110,110.0,0.0,1,True
14,96,96,96.0,0.0,1,True
15,108,108,108.0,0.0,1,True
16,97,97,97.0,0.0,1,True
17,91,91,91.0,0.0,1,True
18,104,104,104.0,0.0,1,True
19,95,95,95.0,0.0,1,True
20,108,108,108.0,0.0,1,True
21,100,100,100.0,0.0,1,True
22,104,104,104.0,0.0,1,True
23,104,104,104.0,0.0,1,True
24,92,92,92.0,0.0,1,True
25,104,104,104.0,0.0,1,True
26,95,95,95.0,0.0,1,True
27,102,102,102.0,0.0,1,True
28,91,91,91.0,0.0,1,True
29,112,112,112.0,0.0,1,True
30,114,114,114.0,0.0,1,True
31,96,96,96.0,0.0,1,True
32,90,90,90.0,0.0,1,True
33,98,98,98.0,0.0,1,True
34,97,97,97.0,0.0,1,True
