celebrity_name,mean_W,dominant_rule_type,n_points,mean_CV,group
Mario Lopez,0.0859916855580295,R2_Percent,10,0.09093826015941267,MostUncertain
Jason Taylor,0.08254897644450117,R2_Percent,10,0.1082826990060692,MostUncertain
Brooke Burke,0.07862215965554989,R2_Percent,10,0.1008016733310964,MostUncertain
Evan Lysacek,0.07834405466279123,R2_Percent,10,0.10279630786329726,MostUncertain
Kristi Yamaguchi,0.07741505686056113,R2_Percent,10,0.10873594448570216,MostUncertain
Riker Lynch,0.07523726211826645,R2_Percent,10,0.10198717816609722,MostUncertain
Erin Andrews,0.07462282998545065,R2_Percent,10,0.09534506402255223,MostUncertain
Cristian de la Fuente,0.07427474437189564,R2_Percent,10,0.10929750707271117,MostUncertain
Shawn Johnson,0.07375669172785243,R2_Percent,21,0.10838028967790844,MostUncertain
Rob Kardashian,0.07359576662487444,R2_Percent,10,0.10293275007128792,MostUncertain
Robert Irwin,0.0066430596334840185,R3_Bottom2,11,0.014831301580108229,LeastUncertain
Lele Pons,0.006641931758310157,R3_Bottom2,7,0.0210692209416374,LeastUncertain
Jordan Chiles,0.006608846558800891,R3_Bottom2,11,0.01509299765208451,LeastUncertain
Olivia Jade,0.006608346482777951,R3_Bottom2,8,0.02216697052455604,LeastUncertain
Suni Lee,0.006426180943450866,R3_Bottom2,9,0.017784612938293577,LeastUncertain
Trevor Donovan,0.00611861852813159,R3_Bottom2,9,0.015555825040843923,LeastUncertain
Johnny Weir,0.00583275411726759,R3_Bottom2,10,0.015985483642590788,LeastUncertain
Heidi D'Amelio,0.00568326264417545,R3_Bottom2,8,0.015966358653633002,LeastUncertain
Selma Blair,0.00449607120991302,R3_Bottom2,5,0.01544918541044368,LeastUncertain
Jeannie Mai,0.004171345118467157,R3_Bottom2,7,0.014763743220235185,LeastUncertain
