celebrity_name,ci_width_mean,cv_mean,n_obs,season
Jeannie Mai,0.004171345118467157,0.014763743220235185,7,29
Selma Blair,0.00449607120991302,0.01544918541044368,5,31
Heidi D'Amelio,0.00568326264417545,0.015966358653633002,8,31
Johnny Weir,0.00583275411726759,0.015985483642590788,10,29
Trevor Donovan,0.00611861852813159,0.015555825040843923,9,31
Suni Lee,0.006426180943450866,0.017784612938293577,9,30
Olivia Jade,0.006608346482777951,0.02216697052455604,8,30
Jordan Chiles,0.006608846558800891,0.01509299765208451,11,34
Lele Pons,0.006641931758310157,0.0210692209416374,7,32
Robert Irwin,0.0066430596334840185,0.014831301580108229,11,34
