celebrity_name,ci_width_mean,cv_mean,n_obs,season
Mario Lopez,0.0859916855580295,0.09093826015941267,10,3
Jason Taylor,0.08254897644450117,0.1082826990060692,10,6
Brooke Burke,0.07862215965554989,0.1008016733310964,10,7
Evan Lysacek,0.07834405466279123,0.10279630786329726,10,10
Kristi Yamaguchi,0.07741505686056113,0.10873594448570216,10,6
Riker Lynch,0.07523726211826645,0.10198717816609722,10,20
Erin Andrews,0.07462282998545065,0.09534506402255223,10,10
Cristian de la Fuente,0.07427474437189564,0.10929750707271117,10,6
Shawn Johnson,0.07375669172785243,0.10838028967790844,21,8
Rob Kardashian,0.07359576662487444,0.10293275007128792,10,13
