Feature,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Significant
pV_hat,0.7321929412412128,0.0,0.6091887297629806,8.255883503038968e-282,True
j_pct,0.6414848368242694,7.8e-322,0.5237224419662642,1.8773960370820936e-195,True
n_alive_w,-0.5851383376880602,7.026553128774262e-255,-0.4923307885929925,1.654799857390992e-169,True
j_mean,0.4150753433188863,4.160929442093089e-116,0.38008109393455347,3.817344631986667e-96,True
j_rank,-0.39606946711167557,5.7492119471563875e-105,-0.3690366241971226,2.4767284415759443e-90,True
week,0.4419091889867858,4.108218552756581e-133,0.32038183147682425,2.5793891816006283e-67,True
celebrity_age_during_season,-0.24303250499360796,1.2771879683894537e-38,-0.24731759759711533,5.644466512888975e-40,True
j_z_within_week,0.1620203032589189,8.621606502802932e-18,0.1653673318490801,1.7719587940221232e-18,True
trend_used,-0.09064832402971112,1.7131155059896839e-06,-0.08535132994410116,6.669383692057891e-06,True
elim_prob,0.080073295336507,2.3944301312709087e-05,0.04199015714157764,0.026915202736226492,False
j_sd,-0.01829864142428138,0.33507870819486807,0.011778217678848507,0.5349801626570662,False
