Feature,β (standardized),Std Error,t-stat,p-value,Significant,Category
rule_R2,0.017453923444661158,0.0005010128961306568,34.8372738096335,9.444530174302418e-221,True,Structural (Rule/Week)
pV_hat,0.01641040925856029,0.00021411079223393917,76.64447498111232,0.0,True,Contestant Trait
week,0.004257290981528479,0.0004889560347343344,8.70689935106661,5.2747866320567965e-18,True,Structural (Rule/Week)
j_mean,-0.00294357391093473,0.00036882748658790214,-7.980896267158202,2.1091999025606556e-15,True,Contestant Trait
rule_R3,0.0021936201141302793,0.0005625156238532728,3.8996607758266735,9.862146184001331e-05,True,Structural (Rule/Week)
j_z_within_week,0.0014247112319839001,0.00028631031939926584,4.976108562811213,6.885534458239288e-07,True,Contestant Trait
n_alive_w,-0.001050383084560189,0.0004532427861716617,-2.3174843960172056,0.02055008819192556,True,Structural (Rule/Week)
trend_used,0.0008857437458222572,0.00016602941379502832,5.334860405613143,1.033588854064199e-07,True,Contestant Trait
ind_Actor_Actress,0.0006057749872039591,0.00023899018809154615,2.534727438148693,0.011308236345658184,True,Industry
ind_Athlete,0.00039548683922060264,0.00022747220694825676,1.7386160908464932,0.08221370303630346,False,Industry
celebrity_age_during_season,0.00020540492265072098,0.00018906709016490247,1.0864128837629479,0.277391133906717,False,Contestant Trait
ind_Singer_Rapper,-0.0001941635211373057,0.00020866387363458082,-0.9305085626720961,0.3521891237033165,False,Industry
ind_TV_Personality,0.00012071886600221947,0.00021329524172834414,0.5659707409505588,0.5714596318055724,False,Industry
