season,week,week_exists,season_len,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,judge_n,n_alive_w,performed,in_competition,elim_week,eliminated_end_of_week,j_total_raw,j_mean_raw,j_sd_raw,j_total,j_mean,j_sd,j_rank,tie_flag,j_points_rank,j_pct,j_z_within_week,delta_j_total,week_start,week_end,num_episodes,trend_date,window_start,window_end,trend_preday,trend_startday,trend_used_window_mean,trend_used,name,awards_pre_t0,awards_total
29.0,1.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,15.0,True,True,9.0,False,18.0,6.0,0.0,18.0,6.0,0.0,8.0,True,8.0,0.069230769,0.214422507,,2020/9/14,2020/9/21,1.0,2020/9/13,2020/9/14,2020/9/14,,12.0,12.0,12.0,AJ McLean,0.0,0.0
29.0,2.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,15.0,True,True,9.0,False,19.0,6.333333333,0.577350269,19.0,6.333333333,0.577350269,5.0,False,11.0,0.06959707,0.373001923,1.0,2020/9/22,2020/9/27,1.0,2020/9/21,2020/9/19,2020/9/21,0.0,6.0,5.666666667,5.666666667,AJ McLean,0.0,0.0
29.0,3.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,14.0,True,True,9.0,False,21.0,7.0,0.0,21.0,7.0,0.0,7.5,True,7.5,0.074733096,0.270733923,2.0,2020/9/28,2020/10/4,1.0,2020/9/27,2020/9/25,2020/9/27,6.0,8.0,8.0,8.0,AJ McLean,0.0,0.0
29.0,4.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,13.0,True,True,9.0,False,24.0,8.0,0.0,24.0,8.0,0.0,5.0,True,9.0,0.079734219,0.407687124,3.0,2020/10/5,2020/10/11,1.0,2020/10/4,2020/10/2,2020/10/4,6.0,9.0,6.0,6.0,AJ McLean,0.0,0.0
29.0,5.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,12.0,True,True,9.0,False,24.0,8.0,0.0,24.0,8.0,0.0,7.0,True,6.0,0.083623693,0.027512728,0.0,2020/10/12,2020/10/18,1.0,2020/10/11,2020/10/9,2020/10/11,6.0,4.0,6.666666667,6.666666667,AJ McLean,0.0,0.0
29.0,6.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,11.0,True,True,9.0,False,27.0,9.0,0.0,27.0,9.0,0.0,2.5,True,9.5,0.100746269,0.885976447,3.0,2020/10/19,2020/10/25,1.0,2020/10/18,2020/10/16,2020/10/18,9.0,12.0,7.333333333,7.333333333,AJ McLean,0.0,0.0
29.0,7.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,10.0,True,True,9.0,False,26.0,8.666666667,0.577350269,26.0,8.666666667,0.577350269,6.0,True,5.0,0.1,0.0,-1.0,2020/10/26,2020/11/1,1.0,2020/10/25,2020/10/23,2020/10/25,8.0,6.0,8.0,8.0,AJ McLean,0.0,0.0
29.0,8.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,8.0,True,True,9.0,False,27.0,9.0,0.0,27.0,9.0,0.0,5.5,True,3.5,0.121621841,-0.378369884,1.0,2020/11/2,2020/11/8,1.0,2020/11/1,2020/10/30,2020/11/1,0.0,5.0,0.0,0.0,AJ McLean,0.0,0.0
29.0,9.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,7.0,True,True,9.0,True,24.9998,8.333266667,0.577350269,24.9998,8.333266667,0.577350269,6.0,False,2.0,0.129533179,-1.025672382,-2.0002,2020/11/9,2020/11/15,1.0,2020/11/8,2020/11/6,2020/11/8,0.0,0.0,1.666666667,1.666666667,AJ McLean,0.0,0.0
29.0,10.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,6.0,False,False,9.0,False,0.0,0.0,0.0,,,,,False,,,,,2020/11/16,2020/11/22,1.0,2020/11/15,2020/11/13,2020/11/15,0.0,0.0,4.0,4.0,AJ McLean,0.0,0.0
29.0,11.0,True,11.0,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,Eliminated Week 9,7.0,3.0,4.0,False,False,9.0,False,0.0,0.0,0.0,,,,,False,,,,,2020/11/23,2020/11/23,1.0,2020/11/22,2020/11/20,2020/11/22,0.0,0.0,0.0,0.0,AJ McLean,0.0,0.0
9.0,1.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,16.0,True,True,8.0,False,31.9999,10.66663333,0.577350269,31.9999,10.66663333,0.577350269,2.0,False,15.0,0.078817798,1.243531921,,2009/9/21,2009/9/27,3.0,2009/9/20,2009/9/21,2009/9/21,,16.0,16.0,16.0,Aaron Carter,0.0,0.0
9.0,2.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,14.0,True,True,8.0,False,27.0,9.0,0.0,27.0,9.0,0.0,1.5,True,13.5,0.091836735,1.942728377,-4.9999,2009/9/28,2009/10/4,2.0,2009/9/27,2009/9/25,2009/9/27,19.0,9.0,17.0,17.0,Aaron Carter,0.0,0.0
9.0,3.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,13.0,True,True,8.0,False,21.0,7.0,1.0,21.0,7.0,1.0,4.5,True,9.5,0.081395349,0.298176757,-6.0,2009/10/5,2009/10/11,2.0,2009/10/4,2009/10/2,2009/10/4,9.0,7.0,10.0,10.0,Aaron Carter,0.0,0.0
9.0,4.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,11.0,True,True,8.0,False,18.0,6.0,0.0,18.0,6.0,0.0,8.0,False,4.0,0.074380165,-0.872871561,-3.0,2009/10/12,2009/10/18,2.0,2009/10/11,2009/10/9,2009/10/11,11.0,7.0,12.66666667,12.66666667,Aaron Carter,0.0,0.0
9.0,5.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,10.0,True,True,8.0,False,24.0,8.0,0.0,24.0,8.0,0.0,5.0,True,6.0,0.099173554,-0.080466267,6.0,2009/10/19,2009/10/25,2.0,2009/10/18,2009/10/16,2009/10/18,8.0,12.0,8.666666667,8.666666667,Aaron Carter,0.0,0.0
9.0,6.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,9.0,True,True,8.0,False,32.9998,10.99993333,0.577350269,32.9998,10.99993333,0.577350269,3.0,False,7.0,0.126922747,0.804514921,8.9998,2009/10/26,2009/11/1,2.0,2009/10/25,2009/10/23,2009/10/25,12.0,9.0,9.666666667,9.666666667,Aaron Carter,0.0,0.0
9.0,7.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,7.0,True,True,8.0,False,26.5,8.833333333,0.288675135,26.5,8.833333333,0.288675135,2.0,False,6.0,0.150997151,0.696873982,-6.4998,2009/11/2,2009/11/8,2.0,2009/11/1,2009/10/30,2009/11/1,13.0,6.0,8.666666667,8.666666667,Aaron Carter,0.0,0.0
9.0,8.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,5.0,True,True,8.0,True,25.0,8.333333333,0.288675135,25.0,8.333333333,0.288675135,4.5,True,1.5,0.190839695,-0.634663062,-1.5,2009/11/9,2009/11/15,2.0,2009/11/8,2009/11/6,2009/11/8,15.0,9.0,12.66666667,12.66666667,Aaron Carter,0.0,0.0
9.0,9.0,True,10.0,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,Eliminated Week 8,5.0,3.0,4.0,False,False,8.0,False,0.0,0.0,0.0,,,,,False,,,,,2009/11/16,2009/11/22,2.0,2009/11/15,2009/11/13,2009/11/15,9.0,8.0,12.0,12.0,Aaron Carter,0.0,0.0
