row_idx,name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
0,Evander Holyfield,2005-06-01,Q313451,2,1,0,0.5
1,Joey McIntyre,2005-06-01,Q740877,0,0,0,0.0
2,John O'Hurley,2005-06-01,Q3142953,0,0,0,0.0
3,Kelly Monaco,2005-06-01,Q451861,1,1,1,1.0
4,Rachel Hunter,2005-06-01,Q259993,0,0,0,0.0
5,Trista Sutter,2005-06-01,Q3734625,0,0,0,0.0
6,Evander Holyfield,2005-06-08,Q313451,2,1,0,0.5
7,Joey McIntyre,2005-06-08,Q740877,0,0,0,0.0
8,John O'Hurley,2005-06-08,Q3142953,0,0,0,0.0
9,Kelly Monaco,2005-06-08,Q451861,1,1,1,1.0
10,Rachel Hunter,2005-06-08,Q259993,0,0,0,0.0
11,Trista Sutter,2005-06-08,Q3734625,0,0,0,0.0
12,Evander Holyfield,2005-06-15,Q313451,2,1,0,0.5
13,Joey McIntyre,2005-06-15,Q740877,0,0,0,0.0
14,John O'Hurley,2005-06-15,Q3142953,0,0,0,0.0
15,Kelly Monaco,2005-06-15,Q451861,1,1,1,1.0
16,Rachel Hunter,2005-06-15,Q259993,0,0,0,0.0
17,Trista Sutter,2005-06-15,Q3734625,0,0,0,0.0
18,Evander Holyfield,2005-06-22,Q313451,2,1,0,0.5
19,Joey McIntyre,2005-06-22,Q740877,0,0,0,0.0
20,John O'Hurley,2005-06-22,Q3142953,0,0,0,0.0
21,Kelly Monaco,2005-06-22,Q451861,1,1,1,1.0
22,Rachel Hunter,2005-06-22,Q259993,0,0,0,0.0
23,Trista Sutter,2005-06-22,Q3734625,0,0,0,0.0
24,Evander Holyfield,2005-06-29,Q313451,2,1,0,0.5
25,Joey McIntyre,2005-06-29,Q740877,0,0,0,0.0
26,John O'Hurley,2005-06-29,Q3142953,0,0,0,0.0
27,Kelly Monaco,2005-06-29,Q451861,1,1,1,1.0
28,Rachel Hunter,2005-06-29,Q259993,0,0,0,0.0
29,Trista Sutter,2005-06-29,Q3734625,0,0,0,0.0
30,Evander Holyfield,2005-07-06,Q313451,2,1,0,0.5
31,Joey McIntyre,2005-07-06,Q740877,0,0,0,0.0
32,John O'Hurley,2005-07-06,Q3142953,0,0,0,0.0
33,Kelly Monaco,2005-07-06,Q451861,1,1,1,1.0
34,Rachel Hunter,2005-07-06,Q259993,0,0,0,0.0
35,Trista Sutter,2005-07-06,Q3734625,0,0,0,0.0
36,Evander Holyfield,,Q313451,0,0,0,0.0
37,Joey McIntyre,,Q740877,0,0,0,0.0
38,John O'Hurley,,Q3142953,0,0,0,0.0
39,Kelly Monaco,,Q451861,0,0,0,0.0
40,Rachel Hunter,,Q259993,0,0,0,0.0
41,Trista Sutter,,Q3734625,0,0,0,0.0
42,Evander Holyfield,,Q313451,0,0,0,0.0
43,Joey McIntyre,,Q740877,0,0,0,0.0
44,John O'Hurley,,Q3142953,0,0,0,0.0
45,Kelly Monaco,,Q451861,0,0,0,0.0
46,Rachel Hunter,,Q259993,0,0,0,0.0
47,Trista Sutter,,Q3734625,0,0,0,0.0
48,Evander Holyfield,,Q313451,0,0,0,0.0
49,Joey McIntyre,,Q740877,0,0,0,0.0
50,John O'Hurley,,Q3142953,0,0,0,0.0
51,Kelly Monaco,,Q451861,0,0,0,0.0
52,Rachel Hunter,,Q259993,0,0,0,0.0
53,Trista Sutter,,Q3734625,0,0,0,0.0
54,Evander Holyfield,,Q313451,0,0,0,0.0
55,Joey McIntyre,,Q740877,0,0,0,0.0
56,John O'Hurley,,Q3142953,0,0,0,0.0
57,Kelly Monaco,,Q451861,0,0,0,0.0
58,Rachel Hunter,,Q259993,0,0,0,0.0
59,Trista Sutter,,Q3734625,0,0,0,0.0
60,Evander Holyfield,,Q313451,0,0,0,0.0
61,Joey McIntyre,,Q740877,0,0,0,0.0
62,John O'Hurley,,Q3142953,0,0,0,0.0
63,Kelly Monaco,,Q451861,0,0,0,0.0
64,Rachel Hunter,,Q259993,0,0,0,0.0
65,Trista Sutter,,Q3734625,0,0,0,0.0
66,Drew Lachey,2006-01-05,Q5307215,0,0,0,0.0
67,George Hamilton,2006-01-05,Q359416,3,1,1,0.3333333333333333
68,Giselle Fernandez,2006-01-05,Q3107767,1,0,0,0.0
69,Jerry Rice,2006-01-05,Q505423,1,0,0,0.0
70,Kenny Mayne,2006-01-05,Q6391145,0,0,0,0.0
71,Lisa Rinna,2006-01-05,Q239576,0,0,0,0.0
72,Master P,2006-01-05,Q722042,0,0,0,0.0
73,Stacy Keibler,2006-01-05,Q238407,0,0,0,0.0
74,Tatum O'Neal,2006-01-05,Q230138,2,2,2,1.0
75,Tia Carrere,2006-01-05,Q286570,1,1,0,1.0
76,Drew Lachey,2006-01-12,Q5307215,0,0,0,0.0
77,George Hamilton,2006-01-12,Q359416,3,1,1,0.3333333333333333
78,Giselle Fernandez,2006-01-12,Q3107767,1,0,0,0.0
79,Jerry Rice,2006-01-12,Q505423,1,0,0,0.0
80,Kenny Mayne,2006-01-12,Q6391145,0,0,0,0.0
81,Lisa Rinna,2006-01-12,Q239576,0,0,0,0.0
82,Master P,2006-01-12,Q722042,0,0,0,0.0
83,Stacy Keibler,2006-01-12,Q238407,0,0,0,0.0
84,Tatum O'Neal,2006-01-12,Q230138,2,2,2,1.0
85,Tia Carrere,2006-01-12,Q286570,1,1,0,1.0
86,Drew Lachey,2006-01-19,Q5307215,0,0,0,0.0
87,George Hamilton,2006-01-19,Q359416,3,1,1,0.3333333333333333
88,Giselle Fernandez,2006-01-19,Q3107767,1,0,0,0.0
89,Jerry Rice,2006-01-19,Q505423,1,0,0,0.0
90,Kenny Mayne,2006-01-19,Q6391145,0,0,0,0.0
91,Lisa Rinna,2006-01-19,Q239576,0,0,0,0.0
92,Master P,2006-01-19,Q722042,0,0,0,0.0
93,Stacy Keibler,2006-01-19,Q238407,0,0,0,0.0
94,Tatum O'Neal,2006-01-19,Q230138,2,2,2,1.0
95,Tia Carrere,2006-01-19,Q286570,1,1,0,1.0
96,Drew Lachey,2006-01-26,Q5307215,0,0,0,0.0
97,George Hamilton,2006-01-26,Q359416,3,1,1,0.3333333333333333
98,Giselle Fernandez,2006-01-26,Q3107767,1,0,0,0.0
99,Jerry Rice,2006-01-26,Q505423,1,0,0,0.0
100,Kenny Mayne,2006-01-26,Q6391145,0,0,0,0.0
101,Lisa Rinna,2006-01-26,Q239576,0,0,0,0.0
102,Master P,2006-01-26,Q722042,0,0,0,0.0
103,Stacy Keibler,2006-01-26,Q238407,0,0,0,0.0
104,Tatum O'Neal,2006-01-26,Q230138,2,2,2,1.0
105,Tia Carrere,2006-01-26,Q286570,1,1,0,1.0
106,Drew Lachey,2006-02-02,Q5307215,0,0,0,0.0
107,George Hamilton,2006-02-02,Q359416,3,1,1,0.3333333333333333
108,Giselle Fernandez,2006-02-02,Q3107767,1,0,0,0.0
109,Jerry Rice,2006-02-02,Q505423,1,0,0,0.0
110,Kenny Mayne,2006-02-02,Q6391145,0,0,0,0.0
111,Lisa Rinna,2006-02-02,Q239576,0,0,0,0.0
112,Master P,2006-02-02,Q722042,0,0,0,0.0
113,Stacy Keibler,2006-02-02,Q238407,0,0,0,0.0
114,Tatum O'Neal,2006-02-02,Q230138,2,2,2,1.0
115,Tia Carrere,2006-02-02,Q286570,1,1,0,1.0
116,Drew Lachey,2006-02-09,Q5307215,0,0,0,0.0
117,George Hamilton,2006-02-09,Q359416,3,1,1,0.3333333333333333
118,Giselle Fernandez,2006-02-09,Q3107767,1,0,0,0.0
119,Jerry Rice,2006-02-09,Q505423,1,0,0,0.0
120,Kenny Mayne,2006-02-09,Q6391145,0,0,0,0.0
121,Lisa Rinna,2006-02-09,Q239576,0,0,0,0.0
122,Master P,2006-02-09,Q722042,0,0,0,0.0
123,Stacy Keibler,2006-02-09,Q238407,0,0,0,0.0
124,Tatum O'Neal,2006-02-09,Q230138,2,2,2,1.0
125,Tia Carrere,2006-02-09,Q286570,1,1,0,1.0
126,Drew Lachey,2006-02-16,Q5307215,0,0,0,0.0
127,George Hamilton,2006-02-16,Q359416,3,1,1,0.3333333333333333
128,Giselle Fernandez,2006-02-16,Q3107767,1,0,0,0.0
129,Jerry Rice,2006-02-16,Q505423,1,0,0,0.0
130,Kenny Mayne,2006-02-16,Q6391145,0,0,0,0.0
131,Lisa Rinna,2006-02-16,Q239576,0,0,0,0.0
132,Master P,2006-02-16,Q722042,0,0,0,0.0
133,Stacy Keibler,2006-02-16,Q238407,0,0,0,0.0
134,Tatum O'Neal,2006-02-16,Q230138,2,2,2,1.0
135,Tia Carrere,2006-02-16,Q286570,1,1,0,1.0
136,Drew Lachey,2006-02-23,Q5307215,0,0,0,0.0
137,George Hamilton,2006-02-23,Q359416,3,1,1,0.3333333333333333
138,Giselle Fernandez,2006-02-23,Q3107767,1,0,0,0.0
139,Jerry Rice,2006-02-23,Q505423,1,0,0,0.0
140,Kenny Mayne,2006-02-23,Q6391145,0,0,0,0.0
141,Lisa Rinna,2006-02-23,Q239576,0,0,0,0.0
142,Master P,2006-02-23,Q722042,0,0,0,0.0
143,Stacy Keibler,2006-02-23,Q238407,0,0,0,0.0
144,Tatum O'Neal,2006-02-23,Q230138,2,2,2,1.0
145,Tia Carrere,2006-02-23,Q286570,1,1,0,1.0
146,Drew Lachey,,Q5307215,0,0,0,0.0
147,George Hamilton,,Q359416,0,0,0,0.0
148,Giselle Fernandez,,Q3107767,0,0,0,0.0
149,Jerry Rice,,Q505423,0,0,0,0.0
150,Kenny Mayne,,Q6391145,0,0,0,0.0
151,Lisa Rinna,,Q239576,0,0,0,0.0
152,Master P,,Q722042,0,0,0,0.0
153,Stacy Keibler,,Q238407,0,0,0,0.0
154,Tatum O'Neal,,Q230138,0,0,0,0.0
155,Tia Carrere,,Q286570,0,0,0,0.0
156,Drew Lachey,,Q5307215,0,0,0,0.0
157,George Hamilton,,Q359416,0,0,0,0.0
158,Giselle Fernandez,,Q3107767,0,0,0,0.0
159,Jerry Rice,,Q505423,0,0,0,0.0
160,Kenny Mayne,,Q6391145,0,0,0,0.0
161,Lisa Rinna,,Q239576,0,0,0,0.0
162,Master P,,Q722042,0,0,0,0.0
163,Stacy Keibler,,Q238407,0,0,0,0.0
164,Tatum O'Neal,,Q230138,0,0,0,0.0
165,Tia Carrere,,Q286570,0,0,0,0.0
166,Drew Lachey,,Q5307215,0,0,0,0.0
167,George Hamilton,,Q359416,0,0,0,0.0
168,Giselle Fernandez,,Q3107767,0,0,0,0.0
169,Jerry Rice,,Q505423,0,0,0,0.0
170,Kenny Mayne,,Q6391145,0,0,0,0.0
171,Lisa Rinna,,Q239576,0,0,0,0.0
172,Master P,,Q722042,0,0,0,0.0
173,Stacy Keibler,,Q238407,0,0,0,0.0
174,Tatum O'Neal,,Q230138,0,0,0,0.0
175,Tia Carrere,,Q286570,0,0,0,0.0
176,Emmitt Smith,2006-09-12,Q1338802,3,0,0,0.0
177,Harry Hamlin,2006-09-12,Q567830,0,0,0,0.0
178,Jerry Springer,2006-09-12,Q27214,0,0,0,0.0
179,Joey Lawrence,2006-09-12,Q550395,0,0,0,0.0
180,Mario Lopez,2006-09-12,Q372559,0,0,0,0.0
181,Monique Coleman,2006-09-12,Q230194,0,0,0,0.0
182,Sara Evans,2006-09-12,Q463989,0,0,0,0.0
183,Shanna Moakler,2006-09-12,Q258736,1,1,1,1.0
184,Tucker Carlson,2006-09-12,Q743162,2,2,0,1.0
185,Vivica A. Fox,2006-09-12,Q220396,0,0,0,0.0
186,Willa Ford,2006-09-12,Q262396,0,0,0,0.0
187,Emmitt Smith,2006-09-19,Q1338802,3,0,0,0.0
188,Harry Hamlin,2006-09-19,Q567830,0,0,0,0.0
189,Jerry Springer,2006-09-19,Q27214,0,0,0,0.0
190,Joey Lawrence,2006-09-19,Q550395,0,0,0,0.0
191,Mario Lopez,2006-09-19,Q372559,0,0,0,0.0
192,Monique Coleman,2006-09-19,Q230194,0,0,0,0.0
193,Sara Evans,2006-09-19,Q463989,0,0,0,0.0
194,Shanna Moakler,2006-09-19,Q258736,1,1,1,1.0
195,Tucker Carlson,2006-09-19,Q743162,2,2,0,1.0
196,Vivica A. Fox,2006-09-19,Q220396,0,0,0,0.0
197,Willa Ford,2006-09-19,Q262396,0,0,0,0.0
198,Emmitt Smith,2006-09-26,Q1338802,3,0,0,0.0
199,Harry Hamlin,2006-09-26,Q567830,0,0,0,0.0
200,Jerry Springer,2006-09-26,Q27214,0,0,0,0.0
201,Joey Lawrence,2006-09-26,Q550395,0,0,0,0.0
202,Mario Lopez,2006-09-26,Q372559,0,0,0,0.0
203,Monique Coleman,2006-09-26,Q230194,0,0,0,0.0
204,Sara Evans,2006-09-26,Q463989,0,0,0,0.0
205,Shanna Moakler,2006-09-26,Q258736,1,1,1,1.0
206,Tucker Carlson,2006-09-26,Q743162,2,2,0,1.0
207,Vivica A. Fox,2006-09-26,Q220396,0,0,0,0.0
208,Willa Ford,2006-09-26,Q262396,0,0,0,0.0
209,Emmitt Smith,2006-10-03,Q1338802,3,0,0,0.0
210,Harry Hamlin,2006-10-03,Q567830,0,0,0,0.0
211,Jerry Springer,2006-10-03,Q27214,0,0,0,0.0
212,Joey Lawrence,2006-10-03,Q550395,0,0,0,0.0
213,Mario Lopez,2006-10-03,Q372559,0,0,0,0.0
214,Monique Coleman,2006-10-03,Q230194,0,0,0,0.0
215,Sara Evans,2006-10-03,Q463989,0,0,0,0.0
216,Shanna Moakler,2006-10-03,Q258736,1,1,1,1.0
217,Tucker Carlson,2006-10-03,Q743162,2,2,0,1.0
218,Vivica A. Fox,2006-10-03,Q220396,0,0,0,0.0
219,Willa Ford,2006-10-03,Q262396,0,0,0,0.0
220,Emmitt Smith,2006-10-10,Q1338802,3,0,0,0.0
221,Harry Hamlin,2006-10-10,Q567830,0,0,0,0.0
222,Jerry Springer,2006-10-10,Q27214,0,0,0,0.0
223,Joey Lawrence,2006-10-10,Q550395,0,0,0,0.0
224,Mario Lopez,2006-10-10,Q372559,0,0,0,0.0
225,Monique Coleman,2006-10-10,Q230194,0,0,0,0.0
226,Sara Evans,2006-10-10,Q463989,0,0,0,0.0
227,Shanna Moakler,2006-10-10,Q258736,1,1,1,1.0
228,Tucker Carlson,2006-10-10,Q743162,2,2,0,1.0
229,Vivica A. Fox,2006-10-10,Q220396,0,0,0,0.0
230,Willa Ford,2006-10-10,Q262396,0,0,0,0.0
231,Emmitt Smith,2006-10-17,Q1338802,3,0,0,0.0
232,Harry Hamlin,2006-10-17,Q567830,0,0,0,0.0
233,Jerry Springer,2006-10-17,Q27214,0,0,0,0.0
234,Joey Lawrence,2006-10-17,Q550395,0,0,0,0.0
235,Mario Lopez,2006-10-17,Q372559,0,0,0,0.0
236,Monique Coleman,2006-10-17,Q230194,0,0,0,0.0
237,Sara Evans,2006-10-17,Q463989,0,0,0,0.0
238,Shanna Moakler,2006-10-17,Q258736,1,1,1,1.0
239,Tucker Carlson,2006-10-17,Q743162,2,2,0,1.0
240,Vivica A. Fox,2006-10-17,Q220396,0,0,0,0.0
241,Willa Ford,2006-10-17,Q262396,0,0,0,0.0
242,Emmitt Smith,2006-10-24,Q1338802,3,0,0,0.0
243,Harry Hamlin,2006-10-24,Q567830,0,0,0,0.0
244,Jerry Springer,2006-10-24,Q27214,0,0,0,0.0
245,Joey Lawrence,2006-10-24,Q550395,0,0,0,0.0
246,Mario Lopez,2006-10-24,Q372559,0,0,0,0.0
247,Monique Coleman,2006-10-24,Q230194,0,0,0,0.0
248,Sara Evans,2006-10-24,Q463989,0,0,0,0.0
249,Shanna Moakler,2006-10-24,Q258736,1,1,1,1.0
250,Tucker Carlson,2006-10-24,Q743162,2,2,0,1.0
251,Vivica A. Fox,2006-10-24,Q220396,0,0,0,0.0
252,Willa Ford,2006-10-24,Q262396,0,0,0,0.0
253,Emmitt Smith,2006-10-31,Q1338802,3,0,0,0.0
254,Harry Hamlin,2006-10-31,Q567830,0,0,0,0.0
255,Jerry Springer,2006-10-31,Q27214,0,0,0,0.0
256,Joey Lawrence,2006-10-31,Q550395,0,0,0,0.0
257,Mario Lopez,2006-10-31,Q372559,0,0,0,0.0
258,Monique Coleman,2006-10-31,Q230194,0,0,0,0.0
259,Sara Evans,2006-10-31,Q463989,0,0,0,0.0
260,Shanna Moakler,2006-10-31,Q258736,1,1,1,1.0
261,Tucker Carlson,2006-10-31,Q743162,2,2,0,1.0
262,Vivica A. Fox,2006-10-31,Q220396,0,0,0,0.0
263,Willa Ford,2006-10-31,Q262396,0,0,0,0.0
264,Emmitt Smith,2006-11-07,Q1338802,3,0,0,0.0
265,Harry Hamlin,2006-11-07,Q567830,0,0,0,0.0
266,Jerry Springer,2006-11-07,Q27214,0,0,0,0.0
267,Joey Lawrence,2006-11-07,Q550395,0,0,0,0.0
268,Mario Lopez,2006-11-07,Q372559,0,0,0,0.0
269,Monique Coleman,2006-11-07,Q230194,0,0,0,0.0
270,Sara Evans,2006-11-07,Q463989,0,0,0,0.0
271,Shanna Moakler,2006-11-07,Q258736,1,1,1,1.0
272,Tucker Carlson,2006-11-07,Q743162,2,2,0,1.0
273,Vivica A. Fox,2006-11-07,Q220396,0,0,0,0.0
274,Willa Ford,2006-11-07,Q262396,0,0,0,0.0
